Pipeline1,Pipeline2,Pipeline3,Pipeline4,Machine1-Idle,Machine2-Idle,Machine3-Idle,Total
253.4505431652069,288.1263484954834,329.1592195034027,515.1341049671173,56.38410496711731,308.73410496711733,435.1341049671173,515.1341049671173
253.40666699409485,288.0795736312866,329.14123916625977,515.1592228412628,56.40922284126282,308.75922284126284,435.1592228412628,515.1592228412628
253.44215726852417,288.1094620227814,329.1753842830658,515.1769466400146,56.42694664001465,308.77694664001467,435.17694664001465,515.1769466400146
253.41665410995483,288.07377791404724,329.1461892127991,515.105507850647,56.35550785064697,308.705507850647,435.105507850647,515.105507850647
253.39324164390564,288.0671901702881,329.1397018432617,515.1947321891785,56.44572067260742,308.79572067260744,435.1957206726074,515.1957206726074
253.47810292243958,288.15806770324707,329.2245614528656,515.1952157020569,56.445215702056885,308.7952157020569,435.1952157020569,515.1952157020569
253.3456892967224,288.0069110393524,329.08191871643066,515.1060292720795,56.357014417648315,308.70701441764834,435.1070144176483,515.1070144176483
253.47995948791504,288.1611359119415,329.2120430469513,515.2757837772369,56.52578377723694,308.87578377723696,435.27578377723694,515.2757837772369
253.3627142906189,288.02482295036316,329.0897419452667,515.0061936378479,56.25711107254028,308.6071110725403,435.0071110725403,515.0071110725403
253.3763930797577,288.041033744812,329.08589792251587,515.0829544067383,56.33395504951477,308.6839550495148,435.08395504951477,515.0839550495148
253.3829381465912,288.0495970249176,329.1087520122528,515.0436511039734,56.29365110397339,308.6436511039734,435.0436511039734,515.0436511039734
253.44800400733948,288.1201014518738,329.1913568973541,515.1163792610168,56.36735701560974,308.71735701560976,435.11735701560974,515.1173570156097
253.33641290664673,288.006285905838,329.05312728881836,514.9835052490234,56.2345495223999,308.5845495223999,434.9845495223999,514.9845495223999
253.33215308189392,287.982782125473,329.04813146591187,515.0221736431122,56.27301836013794,308.62301836013796,435.02301836013794,515.0230183601379
253.3061273097992,287.9693651199341,329.01995730400085,514.9773712158203,56.228437185287476,308.5784371852875,434.9784371852875,514.9784371852875
253.39786744117737,288.0358397960663,329.1002035140991,515.1010932922363,56.35193419456482,308.70193419456484,435.1019341945648,515.1019341945648
253.32583284378052,287.99060249328613,329.05761075019836,514.9895684719086,56.24053120613098,308.590531206131,434.990531206131,514.990531206131
253.36860179901123,288.0343539714813,329.10949087142944,515.0964767932892,56.34742546081543,308.69742546081545,435.09742546081543,515.0974254608154
253.3401391506195,288.0113911628723,329.07609963417053,514.9905579090118,56.24140405654907,308.5914040565491,434.9914040565491,514.9914040565491
253.37082195281982,288.03201603889465,329.0977737903595,515.0626726150513,56.31372022628784,308.66372022628786,435.06372022628784,515.0637202262878
253.43670105934143,288.1181674003601,329.18450140953064,515.1916768550873,56.44273328781128,308.7927332878113,435.1927332878113,515.1927332878113
253.36213850975037,288.0165870189667,329.0899968147278,515.1382894515991,56.389214515686035,308.73921451568606,435.13921451568604,515.139214515686
253.39389514923096,288.0639717578888,329.12293887138367,515.0499365329742,56.300820112228394,308.6508201122284,435.0508201122284,515.0508201122284
253.45630598068237,288.13116121292114,329.2025384902954,515.1707816123962,56.4215989112854,308.7715989112854,435.1715989112854,515.1715989112854
253.4687535762787,288.1277883052826,329.17711210250854,515.1093506813049,56.36019492149353,308.71019492149355,435.11019492149353,515.1101949214935
253.42758512496948,288.10075211524963,329.1665663719177,515.1266875267029,56.37668752670288,308.7266875267029,435.1266875267029,515.1266875267029
253.35172176361084,288.014182806015,329.0923008918762,515.0214715003967,56.27238321304321,308.62238321304324,435.0223832130432,515.0223832130432
253.3875093460083,288.06134939193726,329.13575768470764,515.1859703063965,56.43701124191284,308.78701124191286,435.18701124191284,515.1870112419128
253.43769335746765,288.1006350517273,329.18081426620483,515.1417791843414,56.39177918434143,308.74177918434145,435.14177918434143,515.1417791843414
253.43753790855408,288.1064991950989,329.1750841140747,515.126966714859,56.378021240234375,308.7280212402344,435.1280212402344,515.1280212402344
253.47021865844727,288.12642526626587,329.19123005867004,515.1571791172028,56.40717911720276,308.7571791172028,435.15717911720276,515.1571791172028
253.37046837806702,288.0358066558838,329.1014230251312,515.0764379501343,56.32744860649109,308.6774486064911,435.0774486064911,515.0774486064911
253.4000370502472,288.05398058891296,329.0973210334778,515.0701975822449,56.32019758224487,308.6701975822449,435.0701975822449,515.0701975822449
253.40157341957092,288.0715401172638,329.1421799659729,515.0318303108215,56.28290009498596,308.632900094986,435.03290009498596,515.032900094986
253.37608647346497,288.03492522239685,329.1059875488281,515.1299102306366,56.38085079193115,308.7308507919312,435.13085079193115,515.1308507919312
253.41151022911072,288.08551812171936,329.1482586860657,515.1262221336365,56.376222133636475,308.7262221336365,435.1262221336365,515.1262221336365
253.43541073799133,288.1097779273987,329.17325711250305,515.1958165168762,56.44661545753479,308.7966154575348,435.1966154575348,515.1966154575348
253.45253252983093,288.12880969047546,329.2144491672516,515.1900553703308,56.44005537033081,308.79005537033083,435.1900553703308,515.1900553703308
253.38616728782654,288.07141947746277,329.149751663208,515.1648688316345,56.41584515571594,308.76584515571597,435.16584515571594,515.1658451557159
253.4020004272461,288.0822169780731,329.15608954429626,515.1542615890503,56.40532851219177,308.7553285121918,435.1553285121918,515.1553285121918
253.38903784751892,288.05667877197266,329.1256492137909,515.1615750789642,56.41157507896423,308.76157507896426,435.16157507896423,515.1615750789642
253.41133213043213,288.09025740623474,329.1581060886383,515.1738603115082,56.424800395965576,308.7748003959656,435.1748003959656,515.1748003959656
253.3670356273651,288.0368866920471,329.1038854122162,515.0823893547058,56.33332920074463,308.68332920074465,435.08332920074463,515.0833292007446
