Pipeline1,Pipeline2,Pipeline3,Pipeline4,Machine1-Idle,Machine2-Idle,Machine3-Idle,Total
342.5464098453522,256.29760122299194,260.9188458919525,342.498939037323,24.14640984535214,92.29640984535217,166.04640984535217,342.5464098453522
341.39806365966797,255.1016755104065,259.6602041721344,341.3516821861267,13.998063659667991,105.24806365966796,159.79806365966797,341.39806365966797
341.0050184726715,254.75590229034424,259.3355996608734,340.95742869377136,22.205018472671497,87.15501847267151,168.5050184726715,341.0050184726715
342.77224826812744,254.71637177467346,259.4525291919708,342.70840096473694,32.97224826812737,79.62224826812741,170.57224826812742,342.77224826812744
342.9055480957031,254.91487884521484,259.5142731666565,342.85932183265686,30.405548095703068,73.35554809570311,179.8055480957031,342.9055480957031
344.0508885383606,256.1014931201935,260.81356167793274,344.00399446487427,34.25088853836053,65.8008885383606,186.9508885383606,344.0508885383606
342.37011981010437,256.04554271698,260.717262506485,342.3243510723114,22.670119810104325,93.42011981010438,165.87011981010437,342.37011981010437
341.01344442367554,254.75608110427856,259.37111806869507,340.9672863483429,22.413444423675514,96.06344442367555,159.41344442367554,341.01344442367554
342.86295461654663,254.90194082260132,259.5688452720642,342.81569814682007,18.16295461654653,103.71295461654663,161.56295461654662,342.86295461654663
344.8982765674591,258.4635491371155,263.1048219203949,344.85174345970154,15.49827656745913,86.94827656745912,187.09827656745912,344.8982765674591
344.00919818878174,256.02272057533264,260.5999743938446,343.9627573490143,22.50919818878168,96.55919818878172,167.80919818878172,344.00919818878174
341.3484318256378,254.95925974845886,259.59883642196655,341.30178356170654,17.548431825637806,102.49843182563782,158.84843182563782,341.3484318256378
346.5921106338501,258.6934812068939,263.28462290763855,346.54547357559204,29.09211063385004,77.3421106338501,188.1921106338501,346.5921106338501
341.5539002418518,255.00132274627686,259.6981966495514,341.50848746299744,22.753900241851795,78.60390024185182,178.1539002418518,341.5539002418518
341.2526831626892,254.95264315605164,259.5770933628082,341.2069482803345,21.552683162689164,98.30268316268922,158.7526831626892,341.2526831626892
341.46086621284485,254.96648859977722,259.7047369480133,341.4141254425049,19.660866212844837,91.51086621284486,168.06086621284484,341.46086621284485
342.55170702934265,254.59058713912964,259.26814007759094,342.50467348098755,23.85170702934255,78.30170702934265,180.35170702934263,342.55170702934265
346.34171295166016,258.35597705841064,263.02658700942993,346.29449701309204,22.941712951660122,82.09171295166016,188.84171295166016,346.34171295166016
345.1258955001831,258.5648126602173,263.2825610637665,345.0796387195587,31.625895500183105,72.17589550018312,186.4258955001831,345.1258955001831
341.2476603984833,254.86438488960266,259.6002371311188,341.2012448310852,17.447660398483265,102.39766039848328,158.74766039848328,341.2476603984833
343.0907516479492,254.9777867794037,259.6930785179138,343.0436005592346,25.890751647949173,78.2407516479492,179.9907516479492,343.0907516479492
342.8451385498047,254.99497270584106,259.5715343952179,342.7985463142395,20.04513854980462,93.59513854980469,169.74513854980466,342.8451385498047
344.14528226852417,256.0882341861725,260.7678716182709,344.0976905822754,31.74528226852408,87.59528226852416,167.94528226852415,344.14528226852417
344.6716890335083,258.279572725296,262.9822955131531,344.62516498565674,35.27168903350832,85.82168903350833,167.7716890335083,344.6716890335083
342.877539396286,254.9617006778717,259.56817054748535,342.8320734500885,20.077539396285943,83.62753939628601,179.777539396286,342.877539396286
344.0676474571228,256.1674335002899,260.7871890068054,344.0206050872803,31.667647457122712,87.51764745712279,167.86764745712279,344.0676474571228
342.8630578517914,254.78091382980347,259.5059907436371,342.815336227417,42.16305785179128,79.71305785179135,161.56305785179137,342.8630578517914
343.06325030326843,255.03215146064758,259.8048002719879,343.016259431839,20.263250303268364,93.81325030326843,169.9632503032684,343.06325030326843
343.9945228099823,255.95027327537537,260.62938117980957,343.9474856853485,34.594522809982266,83.54452280998231,168.6945228099823,343.9945228099823
342.5556435585022,254.65407752990723,259.29615926742554,342.50951862335205,31.75564355850213,70.40564355850216,180.35564355850218,342.5556435585022
345.11545634269714,258.5882077217102,263.25678730010986,345.06876373291016,25.71545634269711,97.16545634269715,167.31545634269716,345.11545634269714
344.84716057777405,258.63578724861145,263.26767587661743,344.79987025260925,14.64716057777406,88.59716057777405,186.14716057777403,344.84716057777405
344.9387221336365,258.5641779899597,263.30212450027466,344.89114141464233,21.438722133636475,91.98872213363649,176.23872213363646,344.9387221336365
342.54423689842224,254.62145376205444,259.31190490722656,342.49727058410645,18.84423689842214,83.29423689842224,180.34423689842222,342.54423689842224
341.2955951690674,254.79074335098267,259.441388130188,341.24909496307373,16.19559516906736,83.74559516906737,178.79559516906738,341.2955951690674
342.5122883319855,256.3057882785797,260.9261019229889,342.4655885696411,26.112288331985496,90.26228833198547,166.01228833198547,342.5122883319855
342.8662521839142,254.91477489471436,259.60614466667175,342.8201587200165,28.066252183914116,74.71625218391415,180.66625218391417,342.8662521839142
342.6323869228363,254.52980995178223,259.1948435306549,342.58475065231323,44.23238692283621,77.18238692283632,161.3323869228363,342.6323869228363
341.3058726787567,254.86426496505737,259.591100692749,341.258576631546,26.605872678756725,93.35587267875673,158.8058726787567,341.3058726787567
344.1246657371521,256.1719913482666,260.8480751514435,344.0781481266022,26.32466573715203,83.8746657371521,177.02466573715208,344.1246657371521
342.81387972831726,254.7944016456604,259.5485670566559,342.7674307823181,39.71387972831718,82.0638797283172,161.51387972831725,342.81387972831726
341.0920045375824,254.77247858047485,259.4643340110779,341.0451030731201,36.39200453758235,82.24200453758243,159.4920045375824,341.0920045375824
346.3138732910156,258.40896701812744,263.08042788505554,346.2667067050934,23.11387329101558,81.86387329101564,188.81387329101562,346.3138732910156
342.8886172771454,254.8047788143158,259.46530985832214,342.8420104980469,20.588617277145318,101.3386172771454,161.58861727714537,342.8886172771454
342.813218832016,254.8129518032074,259.5064742565155,342.7657103538513,18.11321883201589,84.56321883201599,180.61321883201597,342.813218832016
342.6560196876526,254.66817831993103,259.2485716342926,342.6103961467743,23.956019687652486,78.40601968765259,180.45601968765257,342.6560196876526
342.5232961177826,255.96769762039185,260.68276381492615,342.47680711746216,10.023296117782593,97.27329611778259,175.1232961177826,342.5232961177826
343.93637561798096,255.83302092552185,260.62110686302185,343.8892433643341,39.536375617980866,78.48637561798097,168.63637561798095,343.93637561798096
342.89532923698425,254.799649477005,259.5767545700073,342.84993720054626,16.795329236984173,105.14532923698422,161.59532923698424,342.89532923698425
342.43441438674927,255.8320550918579,260.60127568244934,342.388160943985,19.934414386749268,86.28441438674929,175.93441438674927,342.43441438674927
346.422486782074,258.46675848960876,263.10807514190674,346.37620425224304,23.02248678207394,82.17248678207397,188.92248678207397,346.422486782074
341.46619391441345,254.86789107322693,259.5847079753876,341.41946625709534,20.266193914413464,99.11619391441343,159.86619391441346,341.46619391441345
342.6602509021759,254.72252130508423,259.4692735671997,342.61353635787964,18.9602509021758,83.4102509021759,180.4602509021759,342.6602509021759
342.7672953605652,254.72791194915771,259.4429862499237,342.7206630706787,14.56729536056514,88.91729536056519,179.66729536056516,342.7672953605652
343.10098791122437,255.06790041923523,259.8311448097229,343.0552225112915,22.60098791122431,81.55098791122435,180.00098791122434,343.10098791122437
342.2927973270416,255.94087672233582,260.6336977481842,342.2454249858856,21.492797327041615,75.34279732704164,184.89279732704162,342.2927973270416
342.14814257621765,256.00326776504517,260.46504402160645,342.10235142707825,17.448142576217606,78.19814257621766,185.64814257621765,342.14814257621765
341.17755675315857,254.76758241653442,259.4653739929199,341.1312835216522,29.47755675315858,89.32755675315858,159.57755675315858,341.17755675315857
340.8973455429077,254.64380741119385,259.3672261238098,340.85093569755554,31.19734554290767,87.04734554290772,159.29734554290772,340.8973455429077
342.47171425819397,256.06960940361023,260.7393071651459,342.4242103099823,15.671714258193958,100.62171425819398,165.97171425819397,342.47171425819397
343.94611263275146,255.9793586730957,260.6493661403656,343.89927983283997,34.1461126327514,84.79611263275143,167.74611263275145,343.94611263275146
344.57427167892456,258.25940680503845,262.94331884384155,344.5267870426178,26.07427167892456,75.7242716789246,186.77427167892458,344.57427167892456
341.18617963790894,254.83888006210327,259.4995450973511,341.1397964954376,27.386179637908924,73.23617963790895,177.78617963790893,341.18617963790894
346.66728138923645,258.6735339164734,263.38357734680176,346.62042021751404,33.26728138923636,92.41728138923645,169.16728138923645,346.66728138923645
341.2215721607208,254.8282539844513,259.49329566955566,341.1747932434082,24.72239589691162,75.07239589691159,178.72239589691162,341.2223958969116
344.29257678985596,256.15845584869385,260.83234691619873,344.245548248291,25.7925767898559,74.74257678985595,187.19257678985596,344.29257678985596
341.3530321121216,254.89717149734497,259.5882978439331,341.30574893951416,19.55303211212157,81.4030321121216,177.95303211212158,341.3530321121216
342.9198477268219,254.73127341270447,259.468633890152,342.8726739883423,27.11984772682183,75.76984772682187,180.71984772682188,342.9198477268219
344.98020815849304,258.6521620750427,263.3086326122284,344.9329128265381,32.580208158493065,90.03020815849305,167.18020815849306,344.98020815849304
344.661301612854,258.3510944843292,262.9867889881134,344.61388063430786,26.161301612854004,75.81130161285404,186.86130161285402,344.661301612854
344.0202326774597,256.0566864013672,260.6268587112427,343.9738869667053,39.620232677459626,78.57023267745973,168.7202326774597,344.0202326774597
